Category,Method,JiNan,,,,,Hangzhou,,,,,SouthKorea_Songdo,,,,,France_Massy,,,,,Hongkong_YMT,,,,,NewYork,,,,
,,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑
,FixedTime,398.44,134.72,169.756707,3886.33,6206,496.11,163.24,77.487037,2968.86,2983,160.46,132.12,1022.927808,1860.25,598,103.54,53.40,131.609935,303.36,166,46.13,19.35,60.238214,211.54,267,327.79,180.71,17.160366,10855.64,1931
,MaxPressure,324.54,64.71,70.004689,1691.72,6295,366.78,49.03,17.081211,643.73,2983,63.40,28.46,213.200617,634.09,598,58.66,8.70,29.042386,196.24,207,41.70,15.63,48.413214,201.59,267,305.33,86.28,9.538615,5841.51,1999
,Qwen-3-vl-8b,398.44,134.72,169.756707,3886.33,6206,496.11,163.24,77.487037,2968.86,2983,160.46,132.12,1022.927808,1860.25,598,103.54,53.40,131.609935,303.36,166,46.13,19.35,60.238214,211.54,267,327.79,180.71,17.160366,10855.64,1931
