Category,Method,SouthKorea_Songdo,,,France_Massy,,,Hongkong_YMT,,,NewYork_double,,,NewYork_triple,,
,,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓
Traditional,FixedTime,159.72,131.47,1008.712451,104.78,53.54,122.001802,46.18,19.43,60.333458,324.87,178.81,17.149908,,,
,MaxPressure,61.37,26.63,196.229643,54.98,6.38,19.871623,43.83,17.27,54.057955,304.20,86.14,9.288421,,,
VLM,qwen3-vl-8b,242.77,221.78,1615.185347,93.21,47.04,104.582565,67.79,42.96,147.724538,325.87,206.34,20.548986,,,
,qwen3-vl-8b-SFT,,,,,,,,,,,,,,,
,qwen3-vl-8b-SFT-RLVR,,,,,,,,,,,,,,,
