Category,Method,JiNan/anon_3_4_jinan_real_emergy_bus,,,,,JiNan/anon_3_4_jinan_real_2000_emergy_bus,,,,,JiNan/anon_3_4_jinan_real_2500_emergy_bus,,,,,Hangzhou/anon_4_4_hangzhou_real_emergy_bus,,,,,Hangzhou/anon_4_4_hangzhou_real_5816_emergy_bus,,,,,SouthKorea_Songdo/songdo_emergy_bus,,,,,France_Massy/massy_emergy_bus,,,,,Hongkong_YMT/YMT_emergy_bus,,,,
,,ATT↓,AWT↓,AQL↓,Special_ATT↓,Special_AWT↓,ATT↓,AWT↓,AQL↓,Special_ATT↓,Special_AWT↓,ATT↓,AWT↓,AQL↓,Special_ATT↓,Special_AWT↓,ATT↓,AWT↓,AQL↓,Special_ATT↓,Special_AWT↓,ATT↓,AWT↓,AQL↓,Special_ATT↓,Special_AWT↓,ATT↓,AWT↓,AQL↓,Special_ATT↓,Special_AWT↓,ATT↓,AWT↓,AQL↓,Special_ATT↓,Special_AWT↓,ATT↓,AWT↓,AQL↓,Special_ATT↓,Special_AWT↓
,FixedTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MaxPressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LLMLight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VLMLight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2ELight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
