Category,Method,JiNan,,,,,Hangzhou,,,,,SouthKorea_Songdo,,,,,France_Massy,,,,,Hongkong_YMT,,,,,NewYork,,,,
,,ATT↓,AWT↓,AQL↓,Special_ATT↓,Special_AWT↓,ATT↓,AWT↓,AQL↓,Special_ATT↓,Special_AWT↓,ATT↓,AWT↓,AQL↓,Special_ATT↓,Special_AWT↓,ATT↓,AWT↓,AQL↓,Special_ATT↓,Special_AWT↓,ATT↓,AWT↓,AQL↓,Special_ATT↓,Special_AWT↓,ATT↓,AWT↓,AQL↓,Special_ATT↓,Special_AWT↓
,FixedTime,400.91,136.79,173.537131,361.32,117.76,493.27,159.81,77.694909,534.05,178.32,159.59,131.40,1018.516575,247.82,221.91,104.64,53.33,119.054724,70.75,7.50,46.28,19.46,60.545698,39.40,12.80,325.38,179.41,17.337654,309.47,168.60
,MaxPressure,323.24,63.86,69.172790,312.14,67.79,364.36,46.64,16.453282,381.00,53.10,62.14,27.59,205.344675,53.18,15.27,55.48,6.51,19.283474,66.50,9.50,43.47,16.92,53.225114,37.60,9.80,305.14,85.24,9.410877,293.39,79.72
,Qwen-3-vl-8b,400.91,136.79,173.537131,361.32,117.76,493.27,159.81,77.694909,534.05,178.32,159.59,131.40,1018.516575,247.82,221.91,104.64,53.33,119.054724,70.75,7.50,46.28,19.46,60.545698,39.40,12.80,325.38,179.41,17.337654,309.47,168.60
