Model Variant,,JiNan_real,,,JiNan_real_2000,,,JiNan_real_2500,,,anon_3_4_jinan_synthetic_24000_60,,,Hangzhou,,,Hangzhou_5816,,,anon_4_4_hangzhou_synthetic_24000_60min,,
,,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓
qwen3-vl-8b,Zero-Shot,971.85,737.58,812.426095,,,,375.96,116.09,125.514220,911.58,613.85,1508.726814,738.92,475.59,181.590128,478.26,185.20,149.409388,836.01,486.47,636.298081
qwen3-vl-8b,SFT,,,,,,,,,,,,,,,,,,,,
qwen3-vl-8b,SFT+RLVR,330.16,69.44,74.75704339,330.39,65.25,46.18549288,320.72,64.39,58.71465565,577.64,270.03,1040.149353,374.12,55.27,19.39008953,359.28,61.17,42.45312173,557.56,207.36,431.4046923
    
