Category,Method,SouthKorea_Songdo/songdo,,,France_Massy/massy,,,Hongkong_YMT/YMT,,
,,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓
,FixedTime,,,,,,,,,
,MaxPressure,,,,,,,,,
,LLMLight,,,,,,,,,
,VLMLight,,,,,,,,,
,E2ELight,,,,,,,,,
