Category,Method,JiNan,,,,,Hangzhou,,,,,SouthKorea_Songdo,,,,,France_Massy,,,,,Hongkong_YMT,,,,,NewYork,,,,
,,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑
,FixedTime,397.39,134.36,169.857776,4058.32,6240,512.36,182.55,94.287716,3278.74,2972,159.91,131.30,1036.802581,1663.22,598,125.98,78.45,201.029318,362.88,166,46.09,19.40,61.677922,244.97,267,327.48,180.51,17.293387,10915.41,1935
,MaxPressure,323.78,64.62,70.084536,1570.26,6295,369.50,51.00,19.308322,790.91,2983,64.48,29.53,224.194838,694.59,598,82.91,34.00,120.402045,306.82,207,44.12,17.73,57.942776,203.86,267,306.57,87.62,9.594479,6217.44,1992
,Qwen-3-vl-8b,397.39,134.36,169.857776,4058.32,6240,512.36,182.55,94.287716,3278.74,2972,159.91,131.30,1036.802581,1663.22,598,125.98,78.45,201.029318,362.88,166,46.09,19.40,61.677922,244.97,267,327.48,180.51,17.293387,10915.41,1935
