Category,Method,JiNan/anon_3_4_jinan_real_accident_debris,,,,,JiNan/anon_3_4_jinan_real_2000_accident_debris,,,,,JiNan/anon_3_4_jinan_real_2500_accident_debris,,,,,Hangzhou/anon_4_4_hangzhou_real_accident_debris,,,,,Hangzhou/anon_4_4_hangzhou_real_5816_accident_debris,,,,,SouthKorea_Songdo/songdo_accident_debris,,,,,France_Massy/massy_accident_debris,,,,,Hongkong_YMT/YMT_accident_debris,,,,
,,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑,ATT↓,AWT↓,AQL↓,MaxQL↓,TPT↑
,FixedTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MaxPressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LLMLight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VLMLight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2ELight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
